"species","latitude","longitude","date_obs","source"
"Libellula depressa",46.83615,6.68491,2025-06-09,"gbif"
"Libellula depressa",47.46816,7.60442,2025-06-10,"gbif"
"Libellula depressa",46.51349,8.96975,2025-06-21,"gbif"
"Libellula depressa",47.01512,8.3264,2025-06-14,"gbif"
"Libellula depressa",46.88339,7.20904,2025-06-15,"gbif"
"Libellula depressa",46.34377,7.60101,2025-06-29,"gbif"
"Libellula depressa",47.59861,8.46913,2025-06-24,"gbif"
"Libellula depressa",47.46577,8.20127,2025-06-03,"gbif"
"Libellula depressa",46.15618,8.76552,2025-06-28,"gbif"
"Libellula depressa",47.01797,7.07694,2025-06-19,"gbif"
"Libellula depressa",47.28324,8.52914,2025-06-29,"gbif"
"Libellula depressa",46.15618,8.76552,2025-06-28,"gbif"
"Libellula depressa",46.15618,8.76552,2025-06-24,"gbif"
"Libellula depressa",47.15335,7.60345,2025-06-26,"gbif"
"Libellula depressa",46.15618,8.76552,2025-06-24,"gbif"
"Libellula depressa",47.01512,8.3264,2025-06-14,"gbif"
"Libellula depressa",46.29813,7.86044,2025-06-11,"gbif"
"Libellula depressa",47.41453,8.86313,2025-06-11,"gbif"
"Libellula depressa",46.79362,7.3404,2025-06-14,"gbif"
"Libellula depressa",47.37112,8.72955,2025-06-01,"gbif"
"Libellula depressa",47.01512,8.3264,2025-06-15,"gbif"
"Libellula depressa",46.79355,7.60236,2025-06-01,"gbif"
"Libellula depressa",46.29786,6.95196,2025-06-26,"gbif"
"Libellula depressa",47.01512,8.3264,2025-06-02,"gbif"
"Libellula depressa",46.15693,8.7008,2025-06-24,"gbif"
"Libellula depressa",47.41453,8.86313,2025-06-11,"gbif"
"Libellula depressa",47.37112,8.72955,2025-06-01,"gbif"
"Libellula depressa",46.10877,8.9584,2025-06-27,"gbif"
"Libellula depressa",46.65625,6.68742,2025-06-12,"gbif"
"Libellula depressa",46.7036,7.60208,2025-06-18,"gbif"
"Libellula depressa",46.15618,8.76552,2025-06-24,"gbif"
"Libellula depressa",46.15618,8.76552,2025-06-24,"gbif"
"Libellula depressa",47.41453,8.86313,2025-06-11,"gbif"
"Libellula depressa",47.51286,7.73731,2025-06-12,"gbif"
"Libellula depressa",46.97107,6.68301,2025-06-10,"gbif"
"Libellula depressa",46.74831,7.14418,2025-06-12,"gbif"
"Libellula depressa",47.24318,7.20749,2025-06-12,"gbif"
"Libellula depressa",46.65738,6.88339,2025-06-05,"gbif"
"Libellula depressa",47.33332,7.3394,2025-06-22,"gbif"
"Libellula depressa",46.73125,9.43394,2025-06-10,"gbif"
"Libellula depressa",46.65625,6.68742,2025-06-12,"gbif"
"Libellula depressa",47.40998,9.19431,2025-06-12,"gbif"
"Libellula depressa",46.47713,6.82013,2025-06-30,"gbif"
"Libellula depressa",47.59861,8.46913,2025-06-24,"gbif"
"Libellula depressa",47.37829,7.33931,2025-06-11,"gbif"
"Libellula depressa",46.92848,7.2745,2025-06-16,"gbif"
"Libellula depressa",46.97277,7.01153,2025-06-17,"gbif"
"Libellula depressa",46.88358,7.34024,2025-06-06,"gbif"
