"presence_class","distance_to_nearest_castor_km","elevation","NDVI","t_mean_c","prec_mean_annual","eco_values"
"libellula",13.69825392894,765,0.842622222222222,9.32291666666669,87.3125,97
"libellula",1.68695192699198,507,0.85425,10.70625,82.2291666666667,97
"libellula",15.6370257680965,1007,0.778733333333333,8.20625000000001,109.708333333333,97
"libellula",1.8087977904858,525,0.796616666666667,10.3875,95.2708333333333,97
"libellula",26.9462579052711,1983,0.808561111111111,1.81250000000006,148.333333333333,97
"libellula",5.00033922911718,1492,0.806472222222222,6.30833333333339,125.791666666667,97
"libellula",4.99920476195551,861,0.850305555555556,7.63958333333335,101.6875,97
"libellula",49.0838712456892,575,0.756977777777778,11.3833333333334,132.520833333333,97
"libellula",0,450,0.865522222222222,11.1479166666667,81.7291666666667,97
"libellula",70.52755952193,1435,0.856794444444445,8.25833333333338,183.291666666667,97
"libellula",14.9999674331468,1226,0.798811111111111,6.7791666666667,140.541666666667,97
"libellula",2.97933051613783,463,0.773333333333333,10.6291666666667,87.6875,97
"libellula",1.33833033673613,557,0.8641,10.3395833333334,102.583333333333,97
"libellula",0,447,0.847794444444445,10.6645833333334,87.6458333333333,97
"libellula",0,962,0.834127777777778,8.8416666666667,109.3125,97
"libellula",4.27047360516032,554,0.7745,10.1250000000001,105.729166666667,97
"libellula",10.000051713396,1208,0.82745,7.71875000000006,127.208333333333,97
"libellula",2.56559236828682,529,0.793761111111111,10.7541666666667,86.5833333333333,97
"libellula",4.99976546597677,641,0.848294444444444,10.0625000000001,98.0625,97
"libellula",55.9020906226918,964,0.884,9.37708333333336,154.958333333333,97
"libellula",4.99989198235465,813,0.833066666666667,9.05416666666667,104.916666666667,97
"libellula",7.07078814879316,1417,0.789783333333333,5.50625000000002,102.916666666667,97
"libellula",3.77050404789585,458,0.820527777777778,12.1020833333334,104.166666666667,97
"libellula",0,652,0.747716666666667,10.19375,118.208333333333,97
"libellula",4.88696493146753,1769,0.796277777777778,3.87500000000006,87.6666666666667,97
"libellula",3.68213337828026,489,0.818683333333333,11.2833333333334,109.8125,97
"libellula",3.69905370079936,489,0.800355555555556,11.2833333333334,109.8125,97
"libellula",0,508,0.788727777777778,10.6041666666667,90.7083333333333,97
"libellula",10.000727079478,1273,0.790344444444445,6.37083333333339,167.375,97
"libellula",5.00025500607714,1326,0.855283333333334,6.20416666666671,108.020833333333,97
"libellula",2.33235962853632,399,0.760911111111111,12.5708333333334,93.9166666666667,97
"libellula",3.13024857489296,448,0.755072222222222,10.8666666666667,75.75,97
"libellula",4.99965598965188,786,0.848794444444444,10.1,108.979166666667,97
"libellula",0,704,0.802494444444444,10.0270833333334,81.75,97
"libellula",0,780,0.846772222222222,9.65000000000003,114.895833333333,97
"libellula",1.0800815268943,552,0.860061111111111,10.2187500000001,75.0833333333333,97
"libellula",7.07096477285055,699,0.8203,9.74375000000003,77.9375,97
"libellula",14.1422885177167,1467,0.833544444444444,4.72291666666672,179.520833333333,97
"libellula",0,1707,0.765077777777778,3.81458333333336,108.208333333333,97
"libellula",14.1425481027216,1979,0.520616666666667,1.48750000000001,148.229166666667,97
"libellula",1.80197079821281,559,0.86505,10.49375,83.9583333333333,97
"libellula",0.179609157173588,412,0.861911111111111,11.1083333333333,84.1666666666667,97
"libellula",11.1808487585652,997,0.806511111111111,8.15833333333336,123.4375,97
"libellula",3.45456433717299,313,0.70735,11.5604166666667,84.1458333333333,97
"libellula",56.508351945416,1037,0.846894444444445,7.6229166666667,149.770833333333,97
"libellula",4.09962564677757,532,0.840311111111111,10.5270833333334,90.5625,97
"libellula",2.15506976471309,669,0.793761111111111,11.3958333333334,107.604166666667,97
"libellula",55.7462682798358,1058,0.892538888888889,8.2791666666667,149.145833333333,97
"libellula",46.2905298631628,1169,0.871266666666667,7.90208333333339,149.5625,97
"libellula",1.311053206645,427,0.77105,12.00625,90.5208333333333,97
"libellula",2.76821493475424,591,0.830688888888889,11.0354166666667,125.604166666667,97
"libellula",2.56558894665319,529,0.793761111111111,10.7541666666667,86.5833333333333,97
"libellula",0.746386029620087,410,0.810266666666667,10.9104166666667,84.2708333333333,97
"libellula",7.07113100217815,885,0.806988888888889,8.50416666666672,143.479166666667,97
"libellula",0,594,0.884327777777778,10.0104166666667,96.9791666666667,97
"libellula",0,571,0.860172222222222,10.3229166666667,97.7083333333333,97
"libellula",7.69019647318084,541,0.830205555555556,11.7166666666667,110.645833333333,97
"libellula",1.02385882662658,464,0.783344444444444,11.94375,82.375,97
"libellula",5.00024205989133,1046,0.784616666666667,7.39166666666671,127.416666666667,97
"libellula",0,809,0.876572222222222,9.15000000000003,117.333333333333,97
"libellula",2.72948662960744,598,0.830688888888889,11.0354166666667,125.604166666667,97
"libellula",4.99967363857849,882,0.852011111111111,8.75416666666672,86.3333333333333,97
"libellula",5.00018360793411,1415,0.820522222222222,4.50625000000002,119.354166666667,97
"libellula",3.20076480342967,332,0.849511111111111,11.175,83.7083333333333,97
"libellula",1.12887356927349,370,0.705994444444445,11.2708333333334,83.5625,97
"libellula",1.94532047568851,527,0.796616666666667,10.3875,95.2708333333333,97
"libellula",0.168934077605188,412,0.861911111111111,11.1083333333333,84.1666666666667,97
"libellula",4.99998089920382,1268,0.889783333333333,6.13750000000005,128.520833333333,97
"libellula",0,1519,0.819222222222222,3.76875000000001,187,97
"libellula",5.00029932611583,678,0.875866666666667,11.1333333333334,106.75,97
"libellula",15.8111793007195,1408,0.781605555555556,5.59791666666672,156.395833333333,97
"libellula",5.00002136102939,1200,0.748911111111111,7.34583333333336,120.854166666667,97
"libellula",3.75938689079726,458,0.820527777777778,12.1020833333334,104.166666666667,97
"libellula",2.83389041849746,343,0.843644444444444,11.4125,79.5625,97
"libellula",4.99942331749863,1305,0.842094444444444,6.11875000000003,119.645833333333,97
"libellula",40.3495424049979,884,0.756472222222222,9.55833333333339,124.354166666667,97
"libellula",3.96942820273787,2162,0.581044444444444,1.35625000000005,139.479166666667,97
"libellula",3.75333242485502,458,0.820527777777778,12.1020833333334,104.166666666667,97
"libellula",0,552,0.851227777777778,10.6125,85.875,97
"libellula",0,794,0.868638888888889,10.2333333333333,92.2083333333333,97
"libellula",7.07089376583323,1631,0.76795,7.01458333333335,121.5625,97
