"eco_values","species","latitude","longitude","date_obs","source","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","occurrence_id","t_mean_c","prec_mean_annual","elevation","slope_deg","aspect_deg","aspect_class","NDVI","temp_class","prec_class","distance_to_nearest_castor_m","distance_to_nearest_castor_km"
107,"Libellula depressa",46.83864,7.40586,"2022-06-17","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",5978,9.02083333333337,101.458333333333,828,5.6719664099723,24.9090163303643,"North",0.803088888888889,"(8.51,10.1]","(88.1,102]",4999.27685324808,4.99927685324808
107,"Libellula depressa",47.06103,8.19552,"2024-08-11","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",5980,10.35625,111.854166666667,652,1.68855309834466,76.5457973086103,"East",0.757416666666667,"(10.1,11.6]","(102,115]",4999.86178544716,4.99986178544716
107,"Libellula depressa",46.74857,7.27505,"2021-06-10","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",5992,8.50625000000002,104.583333333333,963,7.24463443775878,95.1593631481972,"East",0.800972222222222,"(6.94,8.51]","(102,115]",0,0
107,"Libellula depressa",47.5034,8.48249,"2025-05-02","inat","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",5994,11.0770833333333,78.4375,407,1.43421099572385,104.814353113842,"East",0.782933333333333,"(10.1,11.6]","(74.4,88.1]",1280.16637895141,1.28016637895141
107,"Libellula depressa",46.96962,8.39135,"2021-06-18","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",6000,11.6875000000001,118.458333333333,449,1.73029429223883,357.474286696575,"North",0.750822222222222,"(11.6,13.2]","(115,129]",11180.0870366113,11.1800870366113
107,"Libellula depressa",47.28044,8.79346,"2023-06-14","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",6007,10.5625000000001,107.625,525,1.6592077930668,276.344132569959,"West",0.765694444444444,"(10.1,11.6]","(102,115]",0,0
107,"Libellula depressa",46.65299,6.29553,"2021-07-23","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",6012,8.58541666666667,117.125,1033,0.546350313692331,244.433210993319,"West",0.789288888888889,"(8.51,10.1]","(115,129]",15812.0731048502,15.8120731048502
107,"Libellula depressa",47.28838,7.40558,"2020-04-23","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",6020,9.2166666666667,88.7916666666667,833,30.2117703908197,167.04158854984,"South",0.829944444444445,"(8.51,10.1]","(88.1,102]",4999.55532233079,4.99955532233079
107,"Libellula depressa",47.34148,9.449229,"2025-06-17","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",6036,7.86875000000003,129.791666666667,1030,5.78791695764582,192.992733974658,"South",0.8328,"(6.94,8.51]","(129,143]",9372.97704976352,9.37297704976352
107,"Libellula depressa",47.31687,9.3897,"2022-06-18","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",6045,7.33125000000001,131.0625,1092,5.51443348229522,272.171489851529,"West",0.795066666666667,"(6.94,8.51]","(129,143]",11179.9161091443,11.1799161091443
107,"Libellula depressa",47.23944,8.39616,"2024-05-24","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",6062,11.7145833333334,88.6041666666667,386,0.117937275139613,77.1650173004572,"East",0.724988888888889,"(11.6,13.2]","(88.1,102]",0,0
107,"Libellula depressa",47.32688,8.66233,"2024-06-24","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",6066,10.2,105.729166666667,629,6.37980483207507,60.3408680015193,"East",0.7327,"(10.1,11.6]","(102,115]",0,0
107,"Libellula depressa",46.65364,8.51643,"2023-06-17","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",6079,3.73541666666671,181.208333333333,1578,21.8418295989561,172.982902089279,"South",0.739222222222222,"(2.24,3.81]","(170,184]",26609.8541708994,26.6098541708994
107,"Libellula depressa",47.505802,7.80068,"2025-06-19","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",6080,10.9104166666667,84.2708333333333,471,19.6196361177716,102.294439927333,"East",0.839094444444444,"(10.1,11.6]","(74.4,88.1]",796.587506675755,0.796587506675755
107,"Libellula depressa",47.35002,9.08631,"2021-07-02","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",6083,9.70000000000005,118.8125,626,13.2756578449466,251.116194352803,"West",0.78795,"(8.51,10.1]","(115,129]",2711.28912436585,2.71128912436585
107,"Libellula depressa",46.37858,8.96595,"2021-05-30","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",6086,11.0166666666667,110.75,479,30.6742483425453,103.235742645138,"East",0.771622222222222,"(10.1,11.6]","(102,115]",36530.2782444414,36.5302782444414
107,"Libellula depressa",47.057214,8.084878,"2024-06-15","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",6087,10.4416666666667,104.916666666667,625,8.22507557387952,164.758040373297,"South",0.720638888888889,"(10.1,11.6]","(102,115]",5727.38893400197,5.72738893400197
107,"Libellula depressa",47.10714,7.99855,"2021-06-01","gbif","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",6093,10.16875,97.3125,622,8.93541823390717,295.309716458309,"West",0.732594444444444,"(10.1,11.6]","(88.1,102]",4999.65650189635,4.99965650189635
