"species","latitude","longitude","date_obs","source"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",46.6127,6.94912,2025-03-22,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-19,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-19,"gbif"
"Castor fiber",46.5425,9.88346,2025-03-03,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",47.28494,8.33088,2025-03-29,"gbif"
"Castor fiber",47.1984,7.5376,2025-03-06,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",47.28759,7.86825,2025-03-19,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-19,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",47.33279,7.80246,2025-03-19,"gbif"
"Castor fiber",47.19844,7.40564,2025-03-30,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",46.79344,7.66784,2025-03-28,"gbif"
"Castor fiber",46.7926,6.94748,2025-03-12,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-27,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",47.59438,8.86796,2025-03-25,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-11,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",46.38751,6.88615,2025-03-01,"gbif"
"Castor fiber",46.25393,7.47106,2025-03-27,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
